PERMIS,ACV,SEX,STATUT,CSP,USAGE,AGECOND,K8000,RM,CAR,CLA,ALI,ENE,VIT,SEGM,CHARGE,GARAGE
245,10,F,C,50,2,40,N,64,BER,A,CAR,ES,130-140,A,0.0,3
348,10,F,A,50,1,63,N,50,BER,A,CAR,ES,001-130,0,0.0,3
16,10,F,C,26,2,20,N,95,BER,A,CAR,ES,001-130,0,0.0,3
291,10,F,A,50,1,56,N,50,BER,A,CAR,ES,001-130,0,0.0,3
123,10,F,A,50,1,29,N,95,BER,A,CAR,ES,140-150,B,0.0,3
295,10,F,A,37,1,43,O,50,BER,A,CAR,ES,001-130,A,0.0,3
24,10,F,A,50,2,21,N,90,BER,A,CAR,ES,130-140,A,0.0,3
181,9,F,A,50,3,35,N,50,BER,A,INJ,ES,130-140,A,0.0,3
157,10,M,C,55,1,31,N,72,BER,A,CAR,ES,150-160,0,0.0,3
338,10,M,C,1,2,48,N,50,BER,A,INJ,ES,130-140,A,179.2586103,2
20,10,M,C,26,2,19,N,95,BER,A,CAR,ES,001-130,B,0.0,3
208,10,F,A,50,2,39,N,60,BER,A,CAR,ES,130-140,A,0.0,3
127,10,F,A,37,1,29,O,57,BER,A,CAR,ES,150-160,A,0.0,1
93,7,F,C,50,2,39,N,100,BER,A,INJ,ES,130-140,A,0.0,3
134,10,F,A,50,1,36,O,61,BER,A,CAR,ES,001-130,0,0.0,3
416,10,F,C,50,1,60,N,95,BER,A,CAR,ES,001-130,B,0.0,3
383,10,F,C,37,1,56,N,85,BER,A,CAR,ES,001-130,B,0.0,3
417,10,F,A,37,1,57,N,51,BER,A,CAR,ES,001-130,0,0.0,2
460,10,F,A,37,1,57,N,85,BER,A,CAR,ES,001-130,A,0.0,3
38,10,F,C,50,2,35,N,85,BER,A,CAR,ES,001-130,0,0.0,3
381,7,F,C,55,2,57,N,80,BER,A,INJ,ES,140-150,B,0.0,3
212,5,F,A,1,1,39,N,90,BER,A,INJ,ES,130-140,A,0.0,3
276,9,F,C,55,2,41,N,50,BER,A,INJ,ES,130-140,A,0.0,3
463,9,F,A,48,2,58,N,52,BER,A,INJ,ES,130-140,A,488.0655589,3
130,10,F,C,50,2,30,O,68,BER,A,CAR,ES,001-130,A,0.0,3
142,10,F,A,50,1,32,N,90,BER,A,CAR,ES,001-130,0,0.0,3
330,10,F,A,50,1,60,O,50,BER,A,CAR,ES,001-130,A,0.0,1
460,10,F,C,60,1,72,N,50,BER,A,CAR,ES,001-130,B,0.0,3
622,9,F,A,60,1,72,O,50,BER,A,INJ,ES,150-160,B,0.0,3
139,9,F,C,50,1,30,O,54,BER,A,CAR,ES,130-140,A,0.0,3
102,10,F,C,50,2,27,N,100,BER,A,INJ,ES,130-140,A,0.0,3
230,9,F,C,50,2,37,O,50,BER,A,INJ,ES,130-140,A,0.0,3
465,10,F,A,1,3,57,N,50,BER,A,CAR,ES,130-140,A,0.0,3
296,10,F,A,50,2,45,N,60,BER,A,CAR,ES,001-130,0,0.0,3
132,10,F,C,50,2,29,N,54,BER,A,CAR,ES,130-140,A,0.0,3
144,10,F,A,50,1,32,O,68,BER,A,CAR,ES,001-130,B,0.0,2
262,10,F,A,50,3,40,N,50,BER,A,CAR,ES,001-130,0,0.0,3
162,10,F,A,50,2,31,N,76,BER,A,CAR,ES,130-140,A,0.0,3
221,2,F,A,50,2,36,O,68,BER,A,CAR,ES,140-150,B,0.0,3
97,5,F,A,50,2,26,N,95,BER,A,INJ,ES,130-140,A,0.0,3
209,9,F,A,50,2,37,O,60,BER,A,INJ,ES,130-140,A,0.0,3
335,10,F,A,55,2,48,N,95,BER,A,CAR,ES,130-140,A,0.0,3
96,10,F,C,50,2,31,N,68,BER,A,CAR,ES,001-130,B,0.0,3
12,10,F,C,50,1,25,N,95,BER,A,CAR,ES,130-140,A,0.0,1
52,10,F,C,50,2,26,N,90,BER,A,INJ,ES,130-140,A,0.0,3
84,7,F,C,50,3,26,N,90,BER,A,INJ,ES,140-150,B,0.0,3
460,10,F,A,1,1,56,N,85,BER,A,CAR,ES,140-150,B,0.0,3
16,10,F,A,50,1,26,N,95,BER,A,CAR,ES,130-140,A,0.0,3
266,10,F,A,50,1,40,O,64,BER,A,CAR,ES,130-140,0,0.0,3
412,9,F,A,50,2,52,N,50,BER,A,INJ,ES,130-140,A,0.0,3
677,10,F,A,60,1,80,O,53,BER,A,CAR,ES,150-160,A,0.0,1
120,10,F,C,1,1,29,N,95,BER,A,CAR,ES,001-130,0,0.0,3
19,9,F,C,26,2,20,N,95,BER,A,INJ,ES,130-140,A,0.0,3
165,10,F,C,50,2,32,N,90,BER,A,CAR,ES,130-140,A,0.0,3
422,10,F,A,50,1,58,O,69,BER,A,CAR,ES,001-130,B,0.0,3
439,9,F,A,50,3,60,N,57,BER,A,CAR,ES,130-140,A,0.0,3
227,10,F,A,50,2,37,N,50,BER,A,INJ,ES,130-140,A,0.0,3
463,4,F,A,50,2,62,O,50,BER,A,INJ,ES,130-140,A,0.0,3
121,10,F,C,50,3,29,N,80,BER,A,CAR,ES,001-130,B,0.0,3
61,7,F,C,50,2,24,N,95,BER,A,INJ,ES,130-140,A,0.0,3
151,10,F,A,50,2,31,N,51,BER,A,CAR,ES,001-130,0,0.0,3
118,10,F,A,55,1,30,O,72,BER,A,CAR,ES,001-130,A,0.0,2
75,10,F,C,42,2,24,N,95,BER,A,CAR,ES,001-130,B,0.0,3
110,10,F,C,50,2,31,N,72,BER,A,CAR,ES,001-130,B,0.0,3
506,10,F,A,37,1,60,O,50,BER,A,CAR,ES,001-130,B,0.0,3
81,10,F,A,50,2,27,N,76,BER,A,CAR,ES,001-130,A,164.3891239,3
181,10,F,A,50,2,35,N,50,BER,A,INJ,ES,130-140,A,0.0,3
448,7,F,A,50,1,62,O,90,BER,A,INJ,ES,130-140,A,0.0,3
38,10,F,C,26,2,21,N,85,BER,A,CAR,ES,001-130,B,0.0,3
437,9,F,C,55,1,65,O,50,BER,A,INJ,ES,130-140,A,0.0,2
224,10,F,A,50,2,37,N,60,BER,A,CAR,ES,001-130,A,0.0,3
453,1,F,A,60,1,65,N,58,BER,A,CAR,ES,140-150,B,2111.0429,3
73,10,F,C,50,2,24,O,85,BER,A,CAR,ES,001-130,A,0.0,3
119,9,F,C,50,2,30,N,76,BER,A,INJ,ES,130-140,A,0.0,3
74,7,F,C,50,2,24,N,72,BER,A,INJ,ES,150-160,B,0.0,3
196,10,M,C,50,2,37,N,60,BER,A,CAR,ES,001-130,A,0.0,3
388,10,M,A,1,1,50,N,50,BER,A,CAR,ES,001-130,B,0.0,3
161,10,M,C,50,1,33,N,118,BER,A,CAR,ES,001-130,B,0.0,3
